sym,Z,group,row,block,atomic_mass,atomic_radius,van_der_waals_radius,X
H,1,1,1,s,1.00794,0.25,1.2,2.2
Li,3,1,2,s,6.941,1.45,1.82,0.98
Be,4,2,2,s,9.012182,1.05,1.53,1.57
B,5,13,2,p,10.811,0.85,1.92,2.04
C,6,14,2,p,12.0107,0.7,1.7,2.55
N,7,15,2,p,14.0067,0.65,1.55,3.04
O,8,16,2,p,15.9994,0.6,1.52,3.44
F,9,17,2,p,18.998404,0.5,1.47,3.98
Na,11,1,3,s,22.989769,1.8,2.27,0.93
Mg,12,2,3,s,24.305,1.5,1.73,1.31
Al,13,13,3,p,26.981539,1.25,1.84,1.61
Si,14,14,3,p,28.0855,1.1,2.1,1.9
P,15,15,3,p,30.973763,1.0,1.8,2.19
S,16,16,3,p,32.065,1.0,1.8,2.58
Cl,17,17,3,p,35.453,1.0,1.75,3.16
K,19,1,4,s,39.0983,2.2,2.75,0.82
Ca,20,2,4,s,40.078,1.8,2.31,1.0
Sc,21,3,4,d,44.955914,1.6,2.11,1.36
Ti,22,4,4,d,47.867,1.4,,1.54
V,23,5,4,d,50.9415,1.35,,1.63
Cr,24,6,4,d,51.9961,1.4,,1.66
Mn,25,7,4,d,54.938046,1.4,,1.55
Fe,26,8,4,d,55.845,1.4,,1.83
Co,27,9,4,d,58.933193,1.35,,1.88
Ni,28,10,4,d,58.6934,1.35,1.63,1.91
Cu,29,11,4,d,63.546,1.35,1.4,1.9
Zn,30,12,4,d,65.409,1.35,1.39,1.65
Ga,31,13,4,p,69.723,1.3,1.87,1.81
Ge,32,14,4,p,72.64,1.25,2.11,2.01
As,33,15,4,p,74.9216,1.15,1.85,2.18
Se,34,16,4,p,78.96,1.15,1.9,2.55
Br,35,17,4,p,79.904,1.15,1.85,2.96
Rb,37,1,5,s,85.4678,2.35,3.03,0.82
Sr,38,2,5,s,87.62,2.0,2.49,0.95
Y,39,3,5,d,88.90585,1.8,,1.22
Zr,40,4,5,d,91.224,1.55,,1.33
Nb,41,5,5,d,92.90638,1.45,,1.6
Mo,42,6,5,d,95.94,1.45,,2.16
Tc,43,7,5,d,98.0,1.35,,1.9
Ru,44,8,5,d,101.07,1.3,,2.2
Rh,45,9,5,d,102.9055,1.35,,2.28
Pd,46,10,5,d,106.42,1.4,1.63,2.2
Ag,47,11,5,d,107.8682,1.6,1.72,1.93
Cd,48,12,5,d,112.411,1.55,1.58,1.69
In,49,13,5,p,114.818,1.55,1.93,1.78
Sn,50,14,5,p,118.71,1.45,2.17,1.96
Sb,51,15,5,p,121.76,1.45,2.06,2.05
Te,52,16,5,p,127.6,1.4,2.06,2.1
I,53,17,5,p,126.90447,1.4,1.98,2.66
Cs,55,1,6,s,132.90546,2.6,3.43,0.79
Ba,56,2,6,s,137.327,2.15,2.68,0.89
La,57,3,8,f,138.90547,1.95,,1.1
Ce,58,4,8,f,140.116,1.85,,1.12
Pr,59,5,8,f,140.90765,1.85,,1.13
Nd,60,6,8,f,144.242,1.85,,1.14
Pm,61,7,8,f,145.0,1.85,,1.13
Sm,62,8,8,f,150.36,1.85,,1.17
Eu,63,9,8,f,151.964,1.85,,1.2
Gd,64,10,8,f,157.25,1.8,,1.2
Tb,65,11,8,f,158.92535,1.75,,1.1
Dy,66,12,8,f,162.5,1.75,,1.22
Ho,67,13,8,f,164.93031,1.75,,1.23
Er,68,14,8,f,167.259,1.75,,1.24
Tm,69,15,8,f,168.9342,1.75,,1.25
Yb,70,16,8,f,173.04,1.75,,1.1
Lu,71,17,8,d,174.967,1.75,,1.27
Hf,72,4,6,d,178.49,1.55,,1.3
Ta,73,5,6,d,180.94788,1.45,,1.5
W,74,6,6,d,183.84,1.35,,2.36
Re,75,7,6,d,186.207,1.35,,1.9
Os,76,8,6,d,190.23,1.3,,2.2
Ir,77,9,6,d,192.217,1.35,,2.2
Pt,78,10,6,d,195.084,1.35,1.75,2.28
Au,79,11,6,d,196.96657,1.35,1.66,2.54
Hg,80,12,6,d,200.59,1.5,1.55,2.0
Tl,81,13,6,p,204.3833,1.9,1.96,1.62
Pb,82,14,6,p,207.2,1.8,2.02,2.33
Bi,83,15,6,p,208.9804,1.6,2.07,2.02
